Game,Release Data,Total Earnings,Online Earnings,Total Players,Total Tournaments,Genre
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,4901.26,4901.26,0,1,First-Person Shooter
Shadowrun,2007,24000,24000,0,3,First-Person Shooter
ShootMania Storm,2013,262090.69,258286.5,108,43,First-Person Shooter
Special Force,2004,130250,130250,0,3,First-Person Shooter
Splatoon,2015,1390,0,3,4,First-Person Shooter
Splatoon 2,2017,10055,9755,13,7,First-Person Shooter
Star Wars Jedi Knight II: Jedi Outcast,2002,7679.25,7679.25,0,1,First-Person Shooter
Sudden Attack,2005,0,0,0,0,First-Person Shooter
Team Fortress 2,2007,718078.81,393807.2,1364,197,First-Person Shooter
Redacted Name,2016,46235.07,46235.07,5,1,First-Person Shooter
Unreal Tournament,1999,89000,89000,14,5,First-Person Shooter
Unreal Tournament (2016),2016,5084.97,0,82,8,First-Person Shooter
Unreal Tournament 2003,2002,147473.91,147473.91,33,14,First-Person Shooter
Unreal Tournament 2004,2004,133969.33,133969.33,41,12,First-Person Shooter
Unreal Tournament 3,2007,104977.82,104977.82,7,4,First-Person Shooter
VALORANT,2020,8859667.5,2714104.88,3614,632,First-Person Shooter
Warface,2013,109555,109555,32,2,First-Person Shooter
Warsow,2012,183,0,2,1,First-Person Shooter
Wolfenstein: Enemy Territory,2003,140963.24,138376.87,152,18,First-Person Shooter
Xonotic,2010,14405.01,26.07,146,42,First-Person Shooter
Zula,2015,1E+05,1E+05,20,1,First-Person Shooter
Arena of Valor,2015,41290753.03,37745368.92,812,73,Multiplayer Online Battle Arena
Battlerite,2016,65173.45,28000,86,75,Multiplayer Online Battle Arena
Bloodline Champions,2011,41905.32,40850,43,12,Multiplayer Online Battle Arena
Crab Game,2021,45950,44000,32,11,Multiplayer Online Battle Arena
Creative Destruction,2018,1E+05,0,8,1,Multiplayer Online Battle Arena
Defense of the Ancients,2003,857420.65,829658.68,468,94,Multiplayer Online Battle Arena
Dofus,2004,0,0,0,0,Multiplayer Online Battle Arena
Dota 2,2013,279153000.65,255582820.83,4180,1590,Multiplayer Online Battle Arena
Heavy Metal Machines,2017,12339.33,0,35,1,Multiplayer Online Battle Arena
Heroes of Newerth,2010,2918706.56,1552890.01,813,371,Multiplayer Online Battle Arena
Heroes of the Storm,2015,18280006.65,14196415.95,1271,478,Multiplayer Online Battle Arena
Hyper Scape,2020,299000,0,260,4,Multiplayer Online Battle Arena
League of Legends,2009,90041272.98,79598951.3,8018,2665,Multiplayer Online Battle Arena
League of Legends: Wild Rift,2021,1024288,679288,178,4,Multiplayer Online Battle Arena
Legend of Glory,2015,472.66,0,0,1,Multiplayer Online Battle Arena
Minecraft,2011,429539.15,10000,84,20,Multiplayer Online Battle Arena
MOBA Legends,2016,225,0,3,1,Multiplayer Online Battle Arena
Mobile Legends: Bang Bang,2016,1316000,1316000,124,3,Multiplayer Online Battle Arena
Pokemon Unite,2021,0,0,0,0,Multiplayer Online Battle Arena
Roblox,2006,0,0,0,0,Multiplayer Online Battle Arena
Shards of War,2015,1029.21,0,20,1,Multiplayer Online Battle Arena
SMITE,2014,9250112.75,7872832.57,545,97,Multiplayer Online Battle Arena
Splitgate: Arena Warfare,2019,50000,0,64,2,Multiplayer Online Battle Arena
Teeworlds,2007,0,0,0,0,Multiplayer Online Battle Arena
Vainglory,2014,797421.19,696825.87,247,35,Multiplayer Online Battle Arena
Blade & Soul,2012,409355.52,409355.52,51,5,Role-Playing Game
Guild Wars 2,2012,476005.5,350000,152,57,Role-Playing Game
Old School Runescape,2013,437504.2,28500,77,25,Role-Playing Game
Red Stone,2004,58000,58000,12,2,Role-Playing Game
Stardew Valley,2016,54250,0,56,2,Role-Playing Game
World of WarCraft,2004,6976337.61,5081388.91,472,164,Role-Playing Game
Acceleration of SUGURI 2,2018,410,210,8,3,Fighting Game
Akatsuki Blitzkampf,2007,20,0,3,1,Fighting Game
Aquapazza: Aquaplus Dream Match,2011,245,245,5,2,Fighting Game
Arcana Heart 3,2009,1000,1000,4,1,Fighting Game
Arcana Heart 3: Love Max Six Stars!!!!!,2014,570,520,8,4,Fighting Game
Arcana Heart 3: LOVE MAX!!!!!,2013,410,410,6,2,Fighting Game
ARMS,2017,20130.77,13261.93,110,88,Fighting Game
Asuka 120% LimitOver BURNING Fest.,1998,10,0,3,1,Fighting Game
Attack on Titan Tribute Game,2013,108650,0,21,15,Fighting Game
BlazBlue: Calamity Trigger,2008,35,35,3,1,Fighting Game
BlazBlue: Central Fiction,2015,82976.91,82680.07,90,42,Fighting Game
BlazBlue: Chronophantasma,2012,37020.58,37020.58,63,15,Fighting Game
BlazBlue: Chronophantasma Extend,2015,4918.77,4918.77,28,11,Fighting Game
BlazBlue: Continuum Shift Extend,2011,0,0,3,1,Fighting Game
BlazBlue: Continuum Shift II,2010,24591.01,24591.01,14,5,Fighting Game
BlazBlue: Cross Tag Battle,2018,95866.82,93618.43,110,38,Fighting Game
Brawlhalla,2015,1965971.09,692347.3,645,521,Fighting Game
Brawlout,2017,0,0,0,0,Fighting Game
Breakers Revenge,1998,16,0,3,1,Fighting Game
Capcom vs. SNK,2000,140,140,6,2,Fighting Game
Capcom vs. SNK 2,2001,24246.79,24246.79,37,20,Fighting Game
Chaos Code: New Sign of Catastrophe,2013,140,140,3,1,Fighting Game
Dead or Alive 4,2005,497745.31,497745.31,45,13,Fighting Game
Dead or Alive 5,2012,0,0,4,2,Fighting Game
Dead or Alive 5 Ultimate,2013,0,0,37,7,Fighting Game
Dead or Alive 5: Last Round,2015,15413.82,15413.82,46,20,Fighting Game
Dead or Alive 6,2019,64532.54,63422.54,65,20,Fighting Game
Dead or Alive Ultimate,2004,30000,30000,3,1,Fighting Game
Def Jam: Fight for NY,2004,190,0,4,2,Fighting Game
Dengeki Bunko: Fighting Climax,2014,60,60,3,1,Fighting Game
Dengeki Bunko: Fighting Climax Ignition,2015,3202.8,3017.3,36,13,Fighting Game
Digimon Rumble Arena,2001,200,0,5,2,Fighting Game
Divekick,2013,5840,5840,27,11,Fighting Game
Dragon Ball FighterZ,2018,361498.77,338602.27,226,140,Fighting Game
Dragon Ball Z: Budokai 3,2004,204.06,204.06,3,1,Fighting Game
Duck Game,2014,750,0,5,2,Fighting Game
Eternal Fighter Zero,2000,1311.6,0,7,2,Fighting Game
Fantasy Strike,2019,5799.8,2610,21,5,Fighting Game
Fight of Animals,2019,630.68,0,9,4,Fighting Game
Fighters History Dynamite,1994,195,195,3,1,Fighting Game
Fighting EX Layer,2018,1642.96,1632.96,16,7,Fighting Game
Garou: Mark of the Wolves,1999,658.71,513.71,13,4,Fighting Game
Granblue Fantasy: Versus,2020,160243.32,141172.21,65,71,Fighting Game
Guilty Gear,1998,32,32,3,1,Fighting Game
Guilty Gear -STRIVE-,2021,93490.89,42497.57,124,34,Fighting Game
Guilty Gear Xrd -REVELATOR-,2016,36437.43,36437.43,61,19,Fighting Game
Guilty Gear Xrd -SIGN-,2014,37445.66,37445.66,80,38,Fighting Game
Guilty Gear Xrd REV 2,2017,121276.37,121081.37,118,57,Fighting Game
Guilty Gear XX,2002,0,0,5,2,Fighting Game
Guilty Gear XX #Reload,2003,0,0,3,1,Fighting Game
Guilty Gear XX Accent Core,2007,10365,10365,33,4,Fighting Game
Guilty Gear XX Accent Core Plus,2008,0,0,3,1,Fighting Game
Guilty Gear XX Accent Core Plus R,2012,13802.14,5530,79,29,Fighting Game
Guilty Gear XX Slash,2005,10250,10250,6,2,Fighting Game
Hokuto no Ken,2005,145,145,3,1,Fighting Game
Hyper Street Fighter II,2003,10250,10250,8,1,Fighting Game
HYPERFIGHT,2019,140,0,4,2,Fighting Game
Injustice 2,2017,837447.16,836014.57,81,38,Fighting Game
Injustice: Gods Among Us,2013,35176.89,35176.89,101,117,Fighting Game
JoJos Bizarre Adventure: Heritage for the Future,1999,324.99,0,8,3,Fighting Game
Kill la Kill the Game: IF,2019,920,770,12,4,Fighting Game
Killer Instinct (2013),2013,224986.96,224916.96,129,56,Fighting Game
King of Fighters 2002 Unlimited Match,2009,760,760,6,2,Fighting Game
King of Fighters 98,1998,7945.57,7945.57,7,3,Fighting Game
King of Fighters XI,2005,25,25,3,1,Fighting Game
King of Fighters XIII,2010,44724.28,44724.28,107,43,Fighting Game
King of Fighters XIV,2016,74402.09,73542.09,90,39,Fighting Game
Kirby Fighters 2,2020,222.86,0,4,1,Fighting Game
Koihime Enbu,2016,1765,1615,14,7,Fighting Game
Lethal League Blaze,2018,5643.92,1677.75,25,12,Fighting Game
Maiden & Spell,2020,325,0,5,2,Fighting Game
Marvel vs. Capcom 2,2000,39060,39050,60,28,Fighting Game
Marvel vs. Capcom 3,2011,22343.62,22343.62,38,12,Fighting Game
Marvel vs. Capcom: Infinite,2017,76256.72,76202.12,60,22,Fighting Game
Melty Blood: Actress Again,2009,0,0,10,2,Fighting Game
Melty Blood: Actress Again Current Code,2010,9529.93,6765,60,22,Fighting Game
Melty Blood: Type Lumina,2021,2004.59,2004.59,8,1,Fighting Game
Mighty Fight Federation,2021,100,0,3,1,Fighting Game
Million Arthur: Arcana Blood,2017,7540,7530,12,4,Fighting Game
Mordhau,2019,16623,0,40,3,Fighting Game
Mortal Kombat 11,2019,545986.88,484724.68,210,49,Fighting Game
Mortal Kombat 9,2011,136891.67,136891.67,67,26,Fighting Game
Mortal Kombat vs. DC Universe,2008,0,0,3,1,Fighting Game
Mortal Kombat X,2015,523532.42,523532.42,100,62,Fighting Game
Mortal Kombat XL,2016,134203.79,129203.79,55,18,Fighting Game
Mystery Game Tournament,2019,10995,10995,56,8,Fighting Game
Naruto Shippuden: Ultimate Ninja Storm 4,2016,4550,2000,7,5,Fighting Game
Naruto: Gekitou Ninja Taisen! 4,2005,200,0,3,1,Fighting Game
Nitroplus Blasterz: Heroines Infinite Duel,2015,1994,1994,10,4,Fighting Game
Persona 4 Arena,2012,6336.63,6336.63,42,11,Fighting Game
Persona 4 Arena Ultimax,2013,18948.16,18948.16,61,20,Fighting Game
Pocket Rumble,2016,185,0,5,2,Fighting Game
Pokk<U+00E9>n Tournament,2016,77216.66,76971.66,65,26,Fighting Game
Pokk<U+00E9>n Tournament DX,2017,22125.4,21914,44,28,Fighting Game
Power Instinct: Matrimelee,2002,90,0,5,2,Fighting Game
Power Rangers: Battle for the Grid,2019,4540.6,880,22,9,Fighting Game
Power Rangers: Legacy Wars,2017,4178.55,4178.55,2,1,Fighting Game
Project Justice,2000,165,165,3,1,Fighting Game
Project M,2010,205292.09,205292.09,560,335,Fighting Game
Project Plus,2019,195,0,6,2,Fighting Game
Punch Planet,2017,400,0,6,2,Fighting Game
Red Earth,1996,100,0,3,1,Fighting Game
Rising Thunder,2015,1000,1000,3,1,Fighting Game
Rivals of Aether,2015,39268.62,36737,50,21,Fighting Game
Roof Rage,2019,50,0,3,1,Fighting Game
Rushdown Revolt,2021,4160.09,0,31,18,Fighting Game
Sailor Moon S,1995,3281.19,3271.19,20,12,Fighting Game
Samurai Shodown (2019),2019,77723.31,77598.31,72,19,Fighting Game
Samurai Shodown III,1995,70,0,5,2,Fighting Game
Samurai Shodown V Special,2004,590.57,490.11,15,5,Fighting Game
Schwarzerblitz,2020,200,0,5,2,Fighting Game
Sekiro: Shadows Die Twice,2019,19596,0,20,1,Fighting Game
Shovel Knight Showdown,2019,60,60,3,1,Fighting Game
Shrek SuperSlam,2005,80,0,4,2,Fighting Game
Skullgirls,2012,300,300,3,1,Fighting Game
Skullgirls 2nd Encore,2015,23663.02,18351,40,18,Fighting Game
Skullgirls Encore,2014,9155.4,9155.4,37,13,Fighting Game
Slap City,2018,600,0,5,2,Fighting Game
SLAYERS FOR HIRE,2020,600,0,8,2,Fighting Game
Smash Remix,2019,299.06,0,4,1,Fighting Game
SNK Heroines: Tag Team Frenzy,2018,430,430,3,1,Fighting Game
Soul Calibur II,2003,4980,4980,17,8,Fighting Game
Soul Calibur II HD Online,2013,945.41,945.41,29,5,Fighting Game
Soul Calibur IV,2008,260,260,3,2,Fighting Game
Soul Calibur V,2012,60428.54,60428.54,79,27,Fighting Game
Soul Calibur VI,2018,174401.08,156727.09,114,65,Fighting Game
Street Fighter Alpha 2,1996,2594.69,1480,23,10,Fighting Game
Street Fighter Alpha 3,1998,340,340,16,5,Fighting Game
Street Fighter EX2 Plus,1999,350,350,5,2,Fighting Game
Street Fighter III: 3rd Strike,1999,50741.58,50174.36,92,40,Fighting Game
Street Fighter IV,2009,7938.22,7938.22,41,12,Fighting Game
Street Fighter V,2016,2218298.43,2218298.43,239,122,Fighting Game
Street Fighter V: Arcade Edition,2018,2266885.95,2266035.95,235,105,Fighting Game
Street Fighter V: Champion Edition,2020,736751.93,291269.47,175,105,Fighting Game
Street Fighter X Tekken,2012,84090.64,83229.34,115,93,Fighting Game
Super Smash Bros.,1999,68832.81,68692.81,238,126,Fighting Game
Super Smash Bros. Brawl,2008,247285.83,247285.83,503,345,Fighting Game
Super Smash Bros. for Wii U,2014,1515451.47,1512816.47,1281,1035,Fighting Game
Super Smash Bros. Melee,2001,3497427.71,3432808.94,1913,2628,Fighting Game
Super Smash Bros. Ultimate,2018,1991920.39,1674847.32,2242,1564,Fighting Game
Super Street Fighter II Turbo,1994,24322.45,24322.45,109,47,Fighting Game
Super Street Fighter II Turbo HD Remix,2008,16360,16360,29,8,Fighting Game
Super Street Fighter IV,2010,30229.3,20877.3,43,18,Fighting Game
Super Street Fighter IV Arcade Edition,2010,355586.67,355586.67,154,204,Fighting Game
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,2771.76,1330.81,16,16,Fighting Game
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,820,820,7,2,Fighting Game
Tekken 4,2001,12500,12500,4,4,Fighting Game
Tekken 5,2004,10250,10250,10,9,Fighting Game
Tekken 5: Dark Resurrection,2006,12180,12180,18,5,Fighting Game
Tekken 6,2007,119874.64,119874.64,59,30,Fighting Game
Tekken 7,2015,1909590.88,1869221.77,455,266,Fighting Game
Tekken Tag Tournament,1999,0,0,7,4,Fighting Game
Tekken Tag Tournament 2,2011,126175.7,126175.7,143,140,Fighting Game
The Last Blade 2,1998,60,0,4,2,Fighting Game
Thems Fightin Herds,2018,4578.19,530,28,29,Fighting Game
Toribash,2006,100,0,3,1,Fighting Game
Tough Love Arena,2021,100,0,3,1,Fighting Game
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,2009,4501.52,220,18,6,Fighting Game
TowerFall: Ascension,2013,0,0,0,0,Fighting Game
Ultimate Marvel vs. Capcom 3,2011,123611.42,121484.07,195,178,Fighting Game
Ultimate Mortal Kombat 3,1995,150,150,6,2,Fighting Game
Ultra Fight Da! Kyanta 2,2019,320,320,3,1,Fighting Game
Ultra Street Fighter IV,2014,817003.46,816963.46,231,230,Fighting Game
Umineko: Golden Fantasia,2010,190,90,9,3,Fighting Game
Under Night In-Birth EXE: Late,2014,6025.76,6025.76,52,23,Fighting Game
Under Night In-Birth EXE: Late[st],2015,54583.33,54583.33,109,40,Fighting Game
Under Night In-Birth Exe:Late[cl-r],2020,2231.13,1601.37,25,5,Fighting Game
Vampire Savior,1997,9465.95,8318.74,32,20,Fighting Game
Virtua Fighter 4: Evolution,2002,0,0,6,3,Fighting Game
Virtua Fighter 5,2007,39830,39830,14,7,Fighting Game
Virtua Fighter 5 Final Showdown,2010,573.77,573.77,28,6,Fighting Game
Virtua Fighter 5: Ultimate Showdown,2021,1000,0,13,2,Fighting Game
WWE 2K20,2019,50000,0,20,2,Fighting Game
Asphalt 4,2008,29500,29500,5,2,Racing
Asphalt 9: Legends,2018,51520,51520,5,2,Racing
Assetto Corsa,2014,631170.75,327489.6,244,94,Racing
Assetto Corsa Competizione,2018,268281,172370,249,33,Racing
Dirt Rally 2.0,2019,30000,10000,9,4,Racing
F1 2018,2018,2E+05,2E+05,21,1,Racing
F1 2019,2019,538047.38,538047.38,25,2,Racing
F1 2020,2020,752235,0,42,3,Racing
F1 2021,2021,750339,0,25,2,Racing
Forza Horizon 5,2021,0,0,0,0,Racing
Forza Motorsport 2,2007,222000,222000,17,2,Racing
Forza Motorsport 3,2009,11000,11000,3,2,Racing
Forza Motorsport 4,2011,132.37,132.37,2,1,Racing
Forza Motorsport 6,2015,172600,170200,43,9,Racing
Forza Motorsport 7,2017,820200,616200,124,12,Racing
Gran Turismo 3: A-Spec,2001,3250,3250,4,2,Racing
Gran Turismo 4,2004,44000,44000,5,2,Racing
Gran Turismo Sport,2017,30022.56,27511,119,22,Racing
GRID (2019),2019,218.75,218.75,3,1,Racing
Hot Lap League,2021,0,0,0,0,Racing
iRacing.com,2008,2428774.43,208017.1,1141,152,Racing
KartRider,2004,567366.35,567366.35,76,20,Racing
Live for Speed,2003,11599.14,9219.14,22,9,Racing
Mad Skills Motocross 2,2017,20163,20163,12,1,Racing
Mario Kart 8 Deluxe,2017,1754.44,1754.44,30,4,Racing
NASCAR Heat 4,2019,200500,0,34,5,Racing
Nascar Heat 5,2020,6125,2500,20,2,Racing
NASCAR Thunder 2002,2001,7679.25,7679.25,0,1,Racing
NASCAR Thunder 2003,2002,5933.5,5933.5,0,1,Racing
Need for Speed Carbon,2006,36322.58,36322.58,12,4,Racing
Need for Speed: Most Wanted,2005,35694.54,35694.54,18,7,Racing
Need for Speed: ProStreet,2007,32208.46,32208.46,12,3,Racing
Need for Speed: Shift,2009,10500,10500,3,1,Racing
Need for Speed: Underground,2003,35000,35000,3,1,Racing
Need for Speed: Underground 2,2004,35629.48,35629.48,8,3,Racing
Project Cars,2015,68029.21,10602.71,50,115,Racing
Project Cars 2,2017,66150,58150,37,22,Racing
Project Gotham Racing 2,2003,35000,35000,4,2,Racing
Project Gotham Racing 3,2005,297286.85,297286.85,33,10,Racing
Project Gotham Racing 4,2007,25208.46,25208.46,5,4,Racing
RaceRoom Racing Experience,2013,231436.2,82583.7,159,26,Racing
rFactor,2005,15083.56,0,51,4,Racing
rFactor 2,2013,1594178.42,1141396.94,350,81,Racing
Speedrunners,2016,150,0,5,2,Racing
Trackmania (2020),2020,180196.68,3888.42,285,239,Racing
TrackMania 2: Canyon,2011,22098.74,16559.04,21,36,Racing
TrackMania 2: Stadium,2013,198832.27,107640.31,349,284,Racing
Trackmania 2: Valley,2013,779.34,779.34,6,2,Racing
