Game,'Release Data','Total Earnings','Online Earnings','Total Players','Total Tournaments',Genre
'Arcana Heart 3: Love Max Six Stars!!!!!',2014,570,520,8,4,'Fighting Game'
'Arcana Heart 3: LOVE MAX!!!!!',2013,410,410,6,2,'Fighting Game'
ARMS,2017,20130.77,13261.93,110,88,'Fighting Game'
'BlazBlue: Calamity Trigger',2008,35,35,3,1,'Fighting Game'
'BlazBlue: Central Fiction',2015,82976.91,82680.07,90,42,'Fighting Game'
'BlazBlue: Chronophantasma',2012,37020.58,37020.58,63,15,'Fighting Game'
'BlazBlue: Chronophantasma Extend',2015,4918.77,4918.77,28,11,'Fighting Game'
'BlazBlue: Continuum Shift II',2010,24591.01,24591.01,14,5,'Fighting Game'
'BlazBlue: Cross Tag Battle',2018,95866.82,93618.43,110,38,'Fighting Game'
Brawlhalla,2015,1965971.09,692347.3,645,521,'Fighting Game'
'Capcom vs. SNK',2000,140,140,6,2,'Fighting Game'
'Capcom vs. SNK 2',2001,24246.79,24246.79,37,20,'Fighting Game'
'Chaos Code: New Sign of Catastrophe',2013,140,140,3,1,'Fighting Game'
'Dead or Alive 4',2005,497745.31,497745.31,45,13,'Fighting Game'
'Dead or Alive 5: Last Round',2015,15413.82,15413.82,46,20,'Fighting Game'
'Dead or Alive 6',2019,64532.54,63422.54,65,20,'Fighting Game'
'Dead or Alive Ultimate',2004,30000,30000,3,1,'Fighting Game'
'Dengeki Bunko: Fighting Climax',2014,60,60,3,1,'Fighting Game'
'Dengeki Bunko: Fighting Climax Ignition',2015,3202.8,3017.3,36,13,'Fighting Game'
Divekick,2013,5840,5840,27,11,'Fighting Game'
'Dragon Ball FighterZ',2018,361498.77,338602.27,226,140,'Fighting Game'
'Dragon Ball Z: Budokai 3',2004,204.06,204.06,3,1,'Fighting Game'
'Fantasy Strike',2019,5799.8,2610,21,5,'Fighting Game'
'Fighters History Dynamite',1994,195,195,3,1,'Fighting Game'
'Fighting EX Layer',2018,1642.96,1632.96,16,7,'Fighting Game'
'Garou: Mark of the Wolves',1999,658.71,513.71,13,4,'Fighting Game'
'Granblue Fantasy: Versus',2020,160243.32,141172.21,65,71,'Fighting Game'
'Guilty Gear',1998,32,32,3,1,'Fighting Game'
'Guilty Gear -STRIVE-',2021,93490.89,42497.57,124,34,'Fighting Game'
'Guilty Gear Xrd -REVELATOR-',2016,36437.43,36437.43,61,19,'Fighting Game'
'Guilty Gear Xrd -SIGN-',2014,37445.66,37445.66,80,38,'Fighting Game'
'Guilty Gear Xrd REV 2',2017,121276.37,121081.37,118,57,'Fighting Game'
'Guilty Gear XX Accent Core',2007,10365,10365,33,4,'Fighting Game'
'Guilty Gear XX Accent Core Plus R',2012,13802.14,5530,79,29,'Fighting Game'
'Guilty Gear XX Slash',2005,10250,10250,6,2,'Fighting Game'
'Hokuto no Ken',2005,145,145,3,1,'Fighting Game'
'Hyper Street Fighter II',2003,10250,10250,8,1,'Fighting Game'
'Injustice 2',2017,837447.16,836014.57,81,38,'Fighting Game'
'Injustice: Gods Among Us',2013,35176.89,35176.89,101,117,'Fighting Game'
'Kill la Kill the Game: IF',2019,920,770,12,4,'Fighting Game'
'Killer Instinct (2013)',2013,224986.96,224916.96,129,56,'Fighting Game'
'King of Fighters 2002 Unlimited Match',2009,760,760,6,2,'Fighting Game'
'King of Fighters 98',1998,7945.57,7945.57,7,3,'Fighting Game'
'King of Fighters XI',2005,25,25,3,1,'Fighting Game'
'King of Fighters XIII',2010,44724.28,44724.28,107,43,'Fighting Game'
'King of Fighters XIV',2016,74402.09,73542.09,90,39,'Fighting Game'
'Koihime Enbu',2016,1765,1615,14,7,'Fighting Game'
'Lethal League Blaze',2018,5643.92,1677.75,25,12,'Fighting Game'
'Marvel vs. Capcom 2',2000,39060,39050,60,28,'Fighting Game'
'Marvel vs. Capcom 3',2011,22343.62,22343.62,38,12,'Fighting Game'
'Marvel vs. Capcom: Infinite',2017,76256.72,76202.12,60,22,'Fighting Game'
'Melty Blood: Actress Again Current Code',2010,9529.93,6765,60,22,'Fighting Game'
'Melty Blood: Type Lumina',2021,2004.59,2004.59,8,1,'Fighting Game'
'Million Arthur: Arcana Blood',2017,7540,7530,12,4,'Fighting Game'
'Mortal Kombat 11',2019,545986.88,484724.68,210,49,'Fighting Game'
'Mortal Kombat 9',2011,136891.67,136891.67,67,26,'Fighting Game'
'Mortal Kombat X',2015,523532.42,523532.42,100,62,'Fighting Game'
'Mortal Kombat XL',2016,134203.79,129203.79,55,18,'Fighting Game'
'Mystery Game Tournament',2019,10995,10995,56,8,'Fighting Game'
'Naruto Shippuden: Ultimate Ninja Storm 4',2016,4550,2000,7,5,'Fighting Game'
'Nitroplus Blasterz: Heroines Infinite Duel',2015,1994,1994,10,4,'Fighting Game'
'Persona 4 Arena',2012,6336.63,6336.63,42,11,'Fighting Game'
'Persona 4 Arena Ultimax',2013,18948.16,18948.16,61,20,'Fighting Game'
'Pokk<U+00E9>n Tournament',2016,77216.66,76971.66,65,26,'Fighting Game'
'Pokk<U+00E9>n Tournament DX',2017,22125.4,21914,44,28,'Fighting Game'
'Power Rangers: Battle for the Grid',2019,4540.6,880,22,9,'Fighting Game'
'Power Rangers: Legacy Wars',2017,4178.55,4178.55,2,1,'Fighting Game'
'Project Justice',2000,165,165,3,1,'Fighting Game'
'Project M',2010,205292.09,205292.09,560,335,'Fighting Game'
'Rising Thunder',2015,1000,1000,3,1,'Fighting Game'
'Rivals of Aether',2015,39268.62,36737,50,21,'Fighting Game'
'Sailor Moon S',1995,3281.19,3271.19,20,12,'Fighting Game'
'Samurai Shodown (2019)',2019,77723.31,77598.31,72,19,'Fighting Game'
'Samurai Shodown V Special',2004,590.57,490.11,15,5,'Fighting Game'
'Shovel Knight Showdown',2019,60,60,3,1,'Fighting Game'
Skullgirls,2012,300,300,3,1,'Fighting Game'
'Skullgirls 2nd Encore',2015,23663.02,18351,40,18,'Fighting Game'
'Skullgirls Encore',2014,9155.4,9155.4,37,13,'Fighting Game'
'SNK Heroines: Tag Team Frenzy',2018,430,430,3,1,'Fighting Game'
'Soul Calibur II',2003,4980,4980,17,8,'Fighting Game'
'Soul Calibur II HD Online',2013,945.41,945.41,29,5,'Fighting Game'
'Soul Calibur IV',2008,260,260,3,2,'Fighting Game'
'Soul Calibur V',2012,60428.54,60428.54,79,27,'Fighting Game'
'Soul Calibur VI',2018,174401.08,156727.09,114,65,'Fighting Game'
'Street Fighter Alpha 2',1996,2594.69,1480,23,10,'Fighting Game'
'Street Fighter Alpha 3',1998,340,340,16,5,'Fighting Game'
'Street Fighter EX2 Plus',1999,350,350,5,2,'Fighting Game'
'Street Fighter III: 3rd Strike',1999,50741.58,50174.36,92,40,'Fighting Game'
'Street Fighter IV',2009,7938.22,7938.22,41,12,'Fighting Game'
'Street Fighter V',2016,2218298.43,2218298.43,239,122,'Fighting Game'
'Street Fighter V: Arcade Edition',2018,2266885.95,2266035.95,235,105,'Fighting Game'
'Street Fighter V: Champion Edition',2020,736751.93,291269.47,175,105,'Fighting Game'
'Street Fighter X Tekken',2012,84090.64,83229.34,115,93,'Fighting Game'
'Super Smash Bros.',1999,68832.81,68692.81,238,126,'Fighting Game'
'Super Smash Bros. Brawl',2008,247285.83,247285.83,503,345,'Fighting Game'
'Super Smash Bros. for Wii U',2014,1515451.47,1512816.47,1281,1035,'Fighting Game'
'Super Smash Bros. Melee',2001,3497427.71,3432808.94,1913,2628,'Fighting Game'
'Super Smash Bros. Ultimate',2018,1991920.39,1674847.32,2242,1564,'Fighting Game'
'Super Street Fighter II Turbo',1994,24322.45,24322.45,109,47,'Fighting Game'
'Super Street Fighter II Turbo HD Remix',2008,16360,16360,29,8,'Fighting Game'
'Super Street Fighter IV',2010,30229.3,20877.3,43,18,'Fighting Game'
'Super Street Fighter IV Arcade Edition',2010,355586.67,355586.67,154,204,'Fighting Game'
'Tatsunoko vs. Capcom: Ultimate All-Stars',2010,2771.76,1330.81,16,16,'Fighting Game'
'Teenage Mutant Ninja Turtles: Tournament Fighters',1993,820,820,7,2,'Fighting Game'
'Tekken 4',2001,12500,12500,4,4,'Fighting Game'
'Tekken 5',2004,10250,10250,10,9,'Fighting Game'
'Tekken 5: Dark Resurrection',2006,12180,12180,18,5,'Fighting Game'
'Tekken 6',2007,119874.64,119874.64,59,30,'Fighting Game'
'Tekken 7',2015,1909590.88,1869221.77,455,266,'Fighting Game'
'Tekken Tag Tournament 2',2011,126175.7,126175.7,143,140,'Fighting Game'
'Thems Fightin Herds',2018,4578.19,530,28,29,'Fighting Game'
'Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe',2009,4501.52,220,18,6,'Fighting Game'
'Ultimate Marvel vs. Capcom 3',2011,123611.42,121484.07,195,178,'Fighting Game'
'Ultimate Mortal Kombat 3',1995,150,150,6,2,'Fighting Game'
'Ultra Fight Da! Kyanta 2',2019,320,320,3,1,'Fighting Game'
'Ultra Street Fighter IV',2014,817003.46,816963.46,231,230,'Fighting Game'
'Umineko: Golden Fantasia',2010,190,90,9,3,'Fighting Game'
'Under Night In-Birth EXE: Late',2014,6025.76,6025.76,52,23,'Fighting Game'
'Under Night In-Birth EXE: Late[st]',2015,54583.33,54583.33,109,40,'Fighting Game'
'Under Night In-Birth Exe:Late[cl-r]',2020,2231.13,1601.37,25,5,'Fighting Game'
'Vampire Savior',1997,9465.95,8318.74,32,20,'Fighting Game'
'Virtua Fighter 5',2007,39830,39830,14,7,'Fighting Game'
'Virtua Fighter 5 Final Showdown',2010,573.77,573.77,28,6,'Fighting Game'
