'INCIDENT REGION','RESPONSE TYPE','INCIDENT START DATE','INCIDENT START TIME','SUBJECT NUMBER','SUBJECT GENDER','SUBJECT AGE','SUBJECT STATE','SUBJECT COUNTRY',ACTIVITY,SITUATION,'LOCATION FOUND LATITUDE','LOCATION FOUND LONGITUDE','LOCATION FOUND ELEVATION','FOUND IN SEARCH AREA',TECHNIQUE,'NUMBER OF RANGERS INVOLVED','OTHER AGENCY INVOLVEMENT','LAST KNOWN POINT LAND CLASS','LAST KNOWN POINT STATE LAND NAME','LAST KNOWN POINT COUNTY','LAST KNOWN POINT MUNICIPALITY','INCIDENT ADIRONDACK PARK','INCIDENT CATSKILL PARK','INCIDENT CLOSED DATE','INCIDENT CLOSED TIME'
3,Search,07/26/2016,'8:15 AM',6,F,32,NY,US,Hiking,Lost,41.56587,-74.61742,1500,TRUE,'Assist/own power',2,TRUE,'Other DEC Land','Neversink River Unique Area',SULLIVAN,NEVERSINK,FALSE,FALSE,07/26/2016,'10:30 AM'
9,Rescue,05/29/2017,'3:00 AM',1,M,18,NY,US,Hiking,Injured,42.43919,-78.89483,890,TRUE,'Assist/own power; Carry out by foot',3,TRUE,'Other DEC Land','Zoar Valley MUA',CATTARAUGUS,PERSIA,FALSE,FALSE,05/29/2017,'6:30 AM'
4,Recovery,04/16/2017,'1:02 AM',1,M,23,NY,US,Despondent,Missing,42.61598,-73.90119,249,TRUE,'Carry out by foot',3,TRUE,'Other DEC Land','Five Rivers Environmental Education Center',ALBANY,'NEW SCOTLAND',FALSE,FALSE,04/16/2017,'2:00 AM'
5,Search,06/20/2018,'6:04 AM',1,M,68,QC,CA,Hiking,Overdue,44.18285,-73.96617,2180,TRUE,'Assist/own power',6,TRUE,'Forest Preserve','E. High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,06/21/2018,'12:00 PM'
5,Search,08/31/2017,'5:10 AM',2,M,41,NY,US,Boating,Lost,43.49552,-74.36233,1762,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Sargent Ponds Wild Forest',HAMILTON,ARIETTA,TRUE,FALSE,08/31/2017,'7:30 AM'
1,Search,11/12/2016,'11:30 AM',1,M,60,NY,US,Hunting,Lost,40.54155,-72.75,70,TRUE,'Assist/own power',1,TRUE,'Other DEC Land','David A. Sarnoff Preserve',SUFFOLK,SOUTHAMPTON,FALSE,FALSE,11/12/2016,'12:00 PM'
6,Search,07/27/2018,'5:38 AM',6,M,38,NY,US,Hiking,Lost,43.66974,-74.99782,1726,TRUE,'Assist/own power; Carry out by foot',8,TRUE,'Forest Preserve','Black River Wild Forest',HERKIMER,WEBB,TRUE,FALSE,07/27/2018,'11:37 AM'
5,Search,04/19/2017,'8:42 AM',1,M,17,NY,US,Hiking,Lost,43.86873,-74.41447,2757,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Blue Mountain Wild Forest',HAMILTON,'INDIAN LAKE',TRUE,FALSE,04/20/2017,'12:15 PM'
5,Search,06/26/2016,'6:55 AM',1,F,24,NY,US,Runaway,Missing,43.00671,-74.37444,700,FALSE,'Assist/own power',14,TRUE,'Private Land',N/A,HAMILTON,WELLS,TRUE,FALSE,07/08/2016,'12:00 PM'
6,'Fugitive Search',11/06/2017,'11:34 AM',1,M,60,NY,US,Despondent,Fugitive,44.1573,-76.17045,355,TRUE,'Vehicle/boat evacuation',13,TRUE,'Private Land','Private Land',JEFFERSON,'CAPE VINCENT',FALSE,FALSE,11/09/2017,'10:54 AM'
5,Rescue,10/11/2016,'12:10 PM',1,F,48,NY,US,Hiking,Injured,44.14337,-73.73816,2361,TRUE,'Assist/own power',4,TRUE,'Forest Preserve','Giant Mt Wilderness Area',ESSEX,KEENE,TRUE,FALSE,10/11/2016,'3:30 AM'
5,Search,02/13/2017,'3:46 AM',1,M,20,MD,US,Skiing,Overdue,44.18233,-73.96652,2179,TRUE,'Assist/own power',1,TRUE,'Forest Preserve','High Peaks',ESSEX,KEENE,TRUE,FALSE,02/13/2017,'7:00 AM'
5,Rescue,01/16/2018,'11:15 AM',1,M,51,NY,US,Snowmobile,Stranded,43.51136,-74.33981,1720,TRUE,Airboat,2,TRUE,'Conservation Easement','Speculator Tree Farm Easement',HAMILTON,'LAKE PLEASANT',TRUE,FALSE,01/16/2018,'4:00 AM'
5,Search,07/30/2018,'12:52 PM',3,M,5,NJ,US,Hiking,Lost,43.80446,-73.47015,845,TRUE,'Assist/own power; Carry out by foot',2,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,HAGUE,TRUE,FALSE,07/30/2018,'4:24 AM'
4,Recovery,02/28/2017,'6:33 AM',1,?,?,NY,US,Criminal,Missing,42.29941,-73.78523,30,FALSE,'Carry out by foot',2,TRUE,'Wildlife Management Area','Vosburgh Swamp WMA',GREENE,COXSACKIE,FALSE,FALSE,03/01/2017,'3:00 AM'
5,Rescue,01/01/2019,'5:45 AM',1,F,47,NY,US,Hiking,Lost,43.57117,-73.69359,1135,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,BOLTON,TRUE,FALSE,01/01/2019,'7:50 AM'
5,Search,08/22/2016,'4:41 AM',2,M,13,NY,US,Hiking,Lost,43.42571,-73.73464,1270,TRUE,'Vehicle/boat evacuation',1,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,'LAKE GEORGE',TRUE,FALSE,08/22/2016,'9:48 AM'
6,Rescue,07/05/2017,'8:12 AM',1,M,23,NY,US,Boating,Missing,43.02184,-74.80153,336,TRUE,'Airboat; Carry out by foot; Swiftwater; Technical Rope',12,TRUE,'Other Municipal Land',Other,HERKIMER,'LITTLE FALLS',FALSE,FALSE,07/08/2017,'2:00 AM'
5,Rescue,10/14/2017,'1:28 AM',1,F,59,NY,US,Hiking,Injured,43.37406,-73.69734,2360,TRUE,'Assist/own power',10,TRUE,'Forest Preserve','Wilcox Lake Wild Forest',SARATOGA,HADLEY,TRUE,FALSE,10/14/2017,'6:11 AM'
5,Search,08/18/2017,'3:01 AM',4,F,18,NY,US,Hiking,Lost,43.40123,-73.74899,1086,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Lake George Wild Foest',WARREN,'LAKE GEORGE',TRUE,FALSE,08/18/2017,'6:21 AM'
3,Search,07/04/2016,'12:30 PM',2,M,39,NY,US,Hiking,Missing,42.04734,-74.39594,3049,TRUE,'Assist/own power',3,FALSE,'Forest Preserve','Slide mountain Wilderness',ULSTER,SHANDAKEN,FALSE,TRUE,07/04/2016,'5:30 AM'
5,Search,09/30/2018,'9:00 AM',1,M,75,NY,US,Walking,Missing,43.57163,-73.38538,100,TRUE,'Vehicle/boat evacuation',9,TRUE,'Private Land','private and East Bay WMA',WASHINGTON,WHITEHALL,FALSE,FALSE,09/30/2018,'6:07 AM'
5,Search,09/27/2016,'5:19 AM',4,M,11,NY,US,Hiking,Lost,43.80276,-74.30906,1800,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Blue Mountain Wild Forest',HAMILTON,'INDIAN LAKE',TRUE,FALSE,09/27/2016,'11:00 AM'
3,Search,12/11/2017,'8:03 AM',3,F,23,NJ,US,Hiking,Lost,41.98656,-74.35931,3339,TRUE,'Assist/own power',10,TRUE,'Forest Preserve','Friday Mountain',ULSTER,SHANDAKEN,FALSE,TRUE,12/12/2017,'7:45 AM'
5,Rescue,06/10/2018,'6:58 AM',1,F,61,NJ,US,Hiking,Injured,44.15962,-73.97876,3200,TRUE,'Carry out by foot',4,TRUE,'Forest Preserve','High Peaks',ESSEX,'NORTH ELBA',TRUE,FALSE,06/11/2018,'1:30 AM'
5,Rescue,08/12/2016,'6:55 AM',1,M,58,FL,US,Hiking,Illness,44.15832,-73.98215,3500,TRUE,'Assist/own power; Carry out by foot',6,FALSE,'Forest Preserve','Eastern High Peaks',ESSEX,'NORTH ELBA',TRUE,FALSE,08/13/2016,'2:30 AM'
5,Rescue,05/07/2018,'1:00 AM',1,F,60,NY,US,Camping,Injured,43.85201,-73.59037,1455,TRUE,'Carry out by foot; Vehicle/boat evacuation',3,TRUE,'State Forests','Pharoah Lake Wilderness',ESSEX,TICONDEROGA,TRUE,FALSE,05/07/2018,'7:00 AM'
5,Search,02/02/2017,'6:03 AM',1,M,16,NY,US,Hiking,Missing,43.41457,-73.62562,350,TRUE,'Assist/own power',4,TRUE,'Private Land','Nature Conservancy Trail',WASHINGTON,'FORT ANN',TRUE,FALSE,02/02/2017,'8:00 AM'
5,Search,08/22/2018,'2:54 AM',1,F,23,QC,CA,Hiking,Overdue,44.35333,-73.86211,1262,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Wilmington Wild Forest',ESSEX,WILMINGTON,TRUE,FALSE,08/22/2018,'5:30 AM'
5,Rescue,08/06/2016,'9:14 AM',2,F,27,NY,US,Hiking,Lost,44.16875,-73.84641,2189,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks',ESSEX,KEENE,TRUE,FALSE,08/07/2016,'12:39 PM'
5,Search,10/30/2017,'6:25 AM',1,M,31,NY,US,Hunting,Overdue,43.39402,-74.65221,1729,TRUE,'Assist/own power',12,TRUE,'Forest Preserve','West Canada Lake Wilderness',HAMILTON,MOREHOUSE,TRUE,FALSE,10/31/2017,'12:00 PM'
5,Search,08/29/2016,'8:40 AM',1,M,19,MA,US,Hiking,Lost,44.18319,-73.96262,2191,TRUE,'Assist/own power',4,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,08/30/2016,'8:45 AM'
5,Rescue,09/25/2017,'7:58 AM',1,F,54,NY,US,Hiking,Injured,44.09642,-74.11448,3100,TRUE,'Aircraft evacuation',5,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,NEWCOMB,TRUE,FALSE,09/26/2017,'9:30 AM'
5,Rescue,07/10/2017,'8:48 AM',1,M,56,NY,US,Hiking,Injured,44.18898,-73.81609,1527,FALSE,'Assist/own power',4,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,07/10/2017,'9:30 AM'
5,Search,12/13/2016,'5:42 AM',1,M,20,NY,US,Hiking,Lost,44.14234,-73.98579,4700,TRUE,'Aircraft evacuation',31,TRUE,'Forest Preserve','E. High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,12/15/2016,'5:00 AM'
5,Rescue,09/17/2018,'7:54 AM',2,M,32,NY,US,Camping,Illness,43.57466,-73.62522,325,TRUE,'Vehicle/boat evacuation',2,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,BOLTON,TRUE,FALSE,09/17/2018,'10:00 AM'
5,Rescue,08/11/2017,'4:09 AM',1,F,31,TX,US,Hiking,Injured,44.21325,-73.86887,3467,TRUE,'Aircraft evacuation',3,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,08/11/2017,'6:00 AM'
5,Rescue,07/23/2017,'10:00 AM',2,F,44,NJ,US,Hiking,Overdue,43.60397,-73.51512,1700,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,DRESDEN,TRUE,FALSE,07/24/2017,'7:50 AM'
5,Rescue,07/06/2016,'10:36 AM',1,F,26,NY,US,Hiking,Injured,43.5529,-73.54747,2130,TRUE,'Carry out by foot; Vehicle/boat evacuation',6,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,07/07/2016,'4:00 AM'
5,Search,08/03/2018,'8:46 AM',2,F,23,QC,CA,Hiking,Lost,44.15075,-73.9546,2493,TRUE,'Assist/own power',2,TRUE,'Federal Land','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,08/03/2018,'10:57 AM'
9,Search,07/15/2018,'10:45 AM',2,M,24,NY,US,Hiking,Lost,42.44223,-78.84177,920,TRUE,'Assist/own power',2,TRUE,'State Forests','Zoar Valley MUA',ERIE,COLLINS,FALSE,FALSE,07/16/2018,'4:00 AM'
3,Recovery,10/18/2016,'2:20 AM',1,M,56,NY,US,Hiking,Illness,42.0086,-74.42593,2436,FALSE,'Carry out by foot',3,TRUE,'Forest Preserve','Slide Mountain Wilderness',ULSTER,SHANDAKEN,FALSE,TRUE,10/18/2016,'5:15 AM'
8,Search,01/01/2017,'1:36 AM',1,M,21,NY,US,Despondent,Missing,42.61388,-77.39842,790,TRUE,'Assist/own power; Vehicle/boat evacuation',1,FALSE,'Wildlife Management Area','Hi Tor WMA',ONTARIO,NAPLES,FALSE,FALSE,01/01/2017,'3:40 AM'
5,Rescue,07/01/2018,'7:06 AM',1,M,21,NY,US,Hiking,Illness,44.27903,-73.93201,1650,TRUE,'Vehicle/boat evacuation',1,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,07/01/2018,'11:45 AM'
4,Search,07/18/2017,'5:49 AM',3,F,10,PA,US,Hiking,Lost,42.19858,-74.02985,2015,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,07/18/2017,'7:45 AM'
5,Search,10/14/2016,'12:41 PM',1,F,66,PA,US,Hiking,Lost,43.80743,-74.31996,1920,TRUE,'Assist/own power',1,FALSE,'Forest Preserve','Blue Ridge Wilderness',HAMILTON,'INDIAN LAKE',TRUE,FALSE,10/14/2016,'1:05 AM'
5,Rescue,12/31/2018,'1:30 AM',1,F,37,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,'Assist/own power',2,FALSE,'Forest Preserve','Lake George Wild Forest',WARREN,'LAKE GEORGE',TRUE,FALSE,12/31/2018,'4:30 AM'
5,Search,04/25/2017,'7:44 AM',2,M,17,NY,US,Hiking,Lost,43.56471,-73.55346,2100,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,DRESDEN,TRUE,FALSE,04/25/2017,'11:44 AM'
5,Rescue,08/07/2016,'5:56 AM',1,F,44,PA,US,Hiking,Illness,43.62311,-73.571,1300,FALSE,'Assist/own power',3,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,BOLTON,TRUE,FALSE,08/07/2016,'10:30 AM'
5,Rescue,02/20/2018,'12:22 PM',1,F,48,CT,US,Snowmobile,Injured,43.56104,-74.35185,1927,TRUE,'Vehicle/boat evacuation',1,TRUE,'Conservation Easement','Speculator Tree Farm Conservation Easement',HAMILTON,'LAKE PLEASANT',TRUE,FALSE,02/20/2018,'2:00 AM'
5,Search,09/16/2018,'12:11 PM',1,F,28,NY,US,Hiking,Lost,43.76865,-74.7648,1984,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Moose River Plains',HAMILTON,INLET,TRUE,FALSE,09/16/2018,'2:30 AM'
6,Search,07/27/2018,'5:38 AM',7,F,35,NY,US,Hiking,Lost,43.66974,-74.99782,1726,TRUE,'Assist/own power; Carry out by foot',8,TRUE,'Forest Preserve','Black River Wild Forest',HERKIMER,WEBB,TRUE,FALSE,07/27/2018,'11:37 AM'
5,Rescue,09/05/2016,'3:27 AM',1,M,31,PA,US,Climbing:Rock/Ice,Injured,44.40547,-73.50344,900,FALSE,'Carry out by foot',2,TRUE,'Forest Preserve','Taylor Pond Wild Forest',ESSEX,CHESTERFIELD,TRUE,FALSE,09/05/2016,'4:30 AM'
4,Recovery,05/29/2018,'6:46 AM',1,M,24,NJ,US,Hiking,Injured,41.87293,-75.16742,1184,FALSE,'High Angle',12,TRUE,'Private Land',n/a,DELAWARE,HANCOCK,FALSE,FALSE,05/30/2018,'8:00 AM'
5,Search,07/18/2016,'8:16 AM',2,M,14,NJ,US,Hiking,Lost,44.30759,-73.93465,1662,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks',ESSEX,WILMINGTON,TRUE,FALSE,07/18/2016,'11:38 AM'
9,Search,04/25/2017,'3:30 AM',3,M,45,NY,US,'Motor vehicle',Stranded,42.36955,-77.91198,1978,TRUE,'Vehicle/boat evacuation',1,TRUE,'Private Land',n/a,ALLEGANY,BIRDSALL,FALSE,FALSE,04/25/2017,'7:30 AM'
5,Search,03/13/2018,'4:45 AM',1,M,23,VT,US,Skiing,Lost,44.15687,-73.96272,2806,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,03/14/2018,'6:00 AM'
9,Recovery,08/22/2017,'1:01 AM',1,F,35,NY,US,Hiking,Injured,42.44165,-78.87583,970,TRUE,'Aircraft evacuation',5,TRUE,'Other DEC Land','Zoar Valley MUA',ERIE,COLLINS,FALSE,FALSE,08/22/2017,'9:00 AM'
5,Search,11/13/2017,'4:28 AM',1,M,17,NY,US,Runaway,Fugitive,44.27013,-73.93432,1700,TRUE,'Assist/own power',3,TRUE,'Forest Preserve','Setinnel Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,11/13/2017,'6:30 AM'
5,Rescue,09/05/2017,'2:00 AM',1,F,55,NY,US,Hiking,Injured,44.21366,-73.86016,3785,TRUE,'Carry out by foot',3,TRUE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,09/06/2017,'9:00 AM'
5,Search,07/20/2018,'7:02 AM',1,M,34,SC,US,Hiking,Overdue,44.49363,-73.82756,1404,TRUE,'Vehicle/boat evacuation',2,TRUE,'Forest Preserve','Taylor Pond Wild Forest',CLINTON,'BLACK BROOK',TRUE,FALSE,07/20/2018,'9:00 AM'
9,Search,08/13/2017,'3:00 AM',1,M,15,NY,US,Runaway,Missing,42.90649,-78.82525,641,FALSE,'Vehicle/boat evacuation',1,TRUE,'Private Land',N/A,CATTARAUGUS,LYNDON,FALSE,FALSE,08/13/2017,'6:15 AM'
8,Search,06/29/2016,'7:30 AM',1,M,69,NY,US,Runaway,Illness,43.23315,-76.71044,413,TRUE,'Carry out by foot',6,TRUE,'Private Land',n/a,WAYNE,WOLCOTT,FALSE,FALSE,06/29/2016,'6:30 AM'
5,Rescue,08/07/2018,'2:39 AM',1,F,25,NY,US,Hiking,Injured,43.55118,-73.54606,1976,TRUE,'Carry out by foot',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,08/07/2018,'6:54 AM'
5,Rescue,09/19/2017,'11:56 AM',1,M,75,NY,US,Hiking,Injured,44.23397,-74.22048,1800,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','High Peaks Wilderness',FRANKLIN,HARRIETSTOWN,TRUE,FALSE,09/19/2017,'2:44 AM'
5,Search,11/04/2016,'1:34 AM',2,M,53,NY,US,Hunting,Lost,44.74998,-73.74637,1820,TRUE,'Assist/own power',5,TRUE,'Other Municipal Land','Clinton Correctional Facility',CLINTON,DANNEMORA,TRUE,FALSE,11/04/2016,'4:00 AM'
5,Rescue,05/12/2017,'1:40 AM',3,M,18,ON,CA,Hiking,Injured,44.11437,-73.95609,3356,FALSE,'Aircraft evacuation; Assist/own power',4,TRUE,'Forest Preserve','E. High Peaks Wilderness',ESSEX,'NORTH ELBA',TRUE,FALSE,05/23/2017,'12:29 PM'
5,Search,08/22/2016,'11:41 AM',2,F,71,NY,US,Hiking,Overdue,44.13693,-73.81402,2111,TRUE,'Assist/own power',2,TRUE,'Conservation Easement','Adirondack Mountain Reserve',ESSEX,KEENE,TRUE,FALSE,08/23/2016,'5:00 AM'
4,Search,12/26/2018,'2:50 AM',1,M,60,NY,US,Hiking,Lost,42.17673,-74.1062,2797,TRUE,'Assist/own power',2,TRUE,'Forest Preserve','Kaaterskill Wild Forest',GREENE,HUNTER,FALSE,TRUE,12/26/2018,'5:00 AM'
5,Search,10/12/2016,'2:18 AM',2,F,18,NY,US,Hiking,Lost,44.40625,-73.42671,960,TRUE,'Assist/own power',1,FALSE,'Private Land','Private hiking trail',ESSEX,WILLSBORO,TRUE,FALSE,10/12/2016,'5:10 AM'
5,Rescue,05/28/2018,'9:00 AM',1,F,53,NY,US,Hiking,Injured,44.13877,-73.78991,1944,TRUE,'Assist/own power',3,TRUE,'Conservation Easement',AMR,ESSEX,KEENE,TRUE,FALSE,05/28/2018,'9:41 AM'
5,Rescue,05/28/2018,'9:46 AM',1,F,35,NY,US,Hiking,Illness,44.15793,-73.95052,2907,TRUE,'Vehicle/boat evacuation',1,FALSE,'Forest Preserve','High Peaks Wilderness',ESSEX,KEENE,TRUE,FALSE,05/29/2018,'12:30 PM'
5,Search,10/22/2018,'5:42 AM',4,M,10,NY,US,Hiking,Lost,43.54081,-73.54077,1420,TRUE,'Airboat; Assist/own power',2,TRUE,'Forest Preserve','Lake George Wild Forest',WASHINGTON,'FORT ANN',TRUE,FALSE,10/22/2018,'10:00 AM'
5,Rescue,09/07/2016,'8:02 AM',2,F,31,NY,US,Hiking,Overdue,43.58483,-73.62247,330,TRUE,'Vehicle/boat evacuation',1,TRUE,'Forest Preserve','Lake George Wild Forest',WARREN,HAGUE,TRUE,FALSE,09/07/2016,'10:01 AM'
6,Search,06/28/2016,'4:21 AM',2,M,9,NY,US,Boating,Overdue,44.18953,-75.08505,1225,TRUE,'Assist/own power',2,TRUE,'Private Land','Little River','ST LAWRENCE',OSWEGATCHIE,TRUE,FALSE,06/28/2016,'10:30 AM'
5,Search,10/23/2017,'11:08 AM',1,F,12,NY,US,Runaway,Missing,43.09601,-73.89231,702,TRUE,'Assist/own power',6,TRUE,'Private Land','Private Land',SARATOGA,GREENFIELD,FALSE,FALSE,10/24/2017,'12:00 PM'
